Time,Pressure_bar
8.040000,-85.195261
8.060000,-85.034472
8.081000,-85.222060
8.101000,-85.181862
8.120000,-85.208661
8.140000,-85.061270
8.160000,-85.195261
8.181000,-85.195261
8.200000,-85.208661
8.220000,-85.436445
8.240000,-85.168463
8.261000,-85.208661
8.282000,-85.034472
8.300000,-85.409647
8.320000,-85.208661
8.340000,-85.181862
8.360000,-85.436445
8.380000,-85.208661
8.400000,-85.208661
8.421000,-85.222060
8.441000,-85.436445
8.461000,-85.195261
8.481000,-85.208661
8.501000,-85.208661
8.521000,-85.168463
8.541000,-85.222060
8.561000,-85.222060
8.581000,-85.449845
8.601000,-85.208661
8.621000,-85.061270
8.641000,-85.208661
8.661000,-85.222060
8.681000,-85.222060
8.701000,-85.021073
8.721000,-85.168463
8.741000,-85.181862
8.761000,-85.034472
8.781000,-85.222060
8.801000,-85.168463
8.821000,-85.195261
8.841000,-85.061270
8.861000,-85.168463
8.881000,-85.181862
8.901000,-85.181862
8.921000,-85.436445
8.941000,-85.168463
8.961000,-85.195261
8.981000,-85.222060
9.001000,-85.168463
9.021000,-85.181862
9.041000,-85.047871
9.061000,-85.449845
9.081000,-85.222060
9.101000,-85.195261
9.121000,-85.436445
9.141000,-85.181862
9.161000,-85.195261
9.181000,-85.034472
9.201000,-85.423046
9.221000,-85.195261
9.241000,-85.208661
9.261000,-85.235459
9.281000,-85.195261
9.301000,-85.208661
9.323000,-85.235459
9.342000,-85.436445
9.361000,-85.181862
9.381000,-85.195261
9.401000,-85.208661
9.421000,-85.208661
9.441000,-85.195261
9.461000,-85.034472
9.481000,-85.423046
9.501000,-85.181862
9.521000,-85.061270
9.541000,-85.235459
9.561000,-85.181862
9.581000,-85.208661
9.601000,-85.007674
9.621000,-85.168463
9.641000,-85.222060
9.661000,-85.181862
9.681000,-85.222060
9.701000,-85.155064
9.721000,-85.168463
9.741000,-85.061270
9.761000,-85.436445
9.781000,-85.208661
9.801000,-85.181862
9.821000,-85.449845
9.841000,-85.168463
9.861000,-85.195261
9.881000,-85.021073
9.901000,-85.449845
9.921000,-85.208661
9.941000,-85.195261
9.961000,-85.222060
9.981000,-85.168463
10.001000,-85.235459
10.021000,-85.235459
10.041000,-85.449845
10.061000,-85.248858
10.081000,-85.168463
10.101000,-85.222060
10.121000,-85.195261
10.141000,-85.222060
10.161000,-85.047871
10.181000,-85.423046
10.201000,-85.222060
10.221000,-85.047871
10.241000,-85.235459
10.261000,-85.168463
10.281000,-85.181862
10.301000,-85.034472
10.321000,-85.168463
10.341000,-85.208661
10.361000,-85.181862
10.395000,-85.195261
10.401000,-85.155064
10.421000,-85.195261
10.441000,-85.047871
10.461000,-85.449845
10.481000,-85.222060
10.501000,-85.208661
10.521000,-85.423046
10.541000,-85.181862
10.561000,-85.208661
10.581000,-85.047871
10.601000,-85.436445
10.621000,-85.222060
10.641000,-85.195261
10.661000,-85.235459
10.681000,-85.208661
10.701000,-85.235459
10.721000,-85.222060
10.741000,-85.436445
10.761000,-85.208661
10.781000,-85.195261
10.801000,-85.208661
10.821000,-85.195261
10.842000,-85.222060
10.861000,-85.074669
10.881000,-85.423046
10.901000,-85.222060
10.921000,-85.195261
10.941000,-85.181862
10.961000,-85.463244
10.981000,-85.195261
11.001000,-85.155064
11.021000,-85.235459
11.041000,-85.436445
11.061000,-85.222060
11.081000,-85.195261
11.101000,-85.449845
11.121000,-85.208661
11.141000,-85.208661
11.161000,-85.222060
11.181000,-85.409647
11.201000,-85.222060
11.221000,-85.074669
11.241000,-85.195261
11.261000,-85.208661
11.281000,-85.235459
11.301000,-85.222060
11.321000,-85.449845
11.341000,-85.195261
11.361000,-85.034472
11.381000,-85.222060
11.401000,-85.141665
11.421000,-85.195261
11.441000,-85.021073
11.461000,-85.141665
11.481000,-85.195261
11.501000,-85.047871
11.530000,-85.449845
11.541000,-85.168463
11.561000,-85.195261
11.581000,-85.061270
11.601000,-85.155064
11.621000,-85.222060
11.641000,-85.047871
11.661000,-85.436445
11.681000,-85.195261
11.701000,-85.195261
11.721000,-85.235459
11.741000,-85.463244
11.761000,-85.235459
11.781000,-85.208661
11.801000,-85.436445
11.821000,-85.222060
11.841000,-85.208661
11.861000,-85.208661
11.881000,-85.436445
11.901000,-85.208661
11.921000,-85.047871
11.941000,-85.222060
11.961000,-85.208661
11.981000,-85.208661
12.001000,-85.222060
12.021000,-85.168463
12.041000,-85.195261
12.061000,-85.034472
12.081000,-85.208661
12.101000,-85.195261
12.122000,-85.181862
12.141000,-85.021073
12.161000,-85.181862
12.181000,-85.195261
12.201000,-85.034472
12.221000,-85.423046
12.241000,-85.181862
12.261000,-85.168463
12.281000,-85.047871
12.301000,-85.168463
12.321000,-85.208661
12.341000,-85.195261
12.361000,-85.409647
12.381000,-85.195261
12.401000,-85.222060
12.421000,-85.235459
12.441000,-85.463244
12.461000,-85.208661
12.481000,-85.208661
12.501000,-85.436445
12.521000,-85.222060
12.541000,-85.208661
12.561000,-85.208661
12.581000,-85.449845
12.601000,-85.222060
12.621000,-85.047871
12.646000,-85.235459
12.664000,-85.195261
12.681000,-85.235459
12.701000,-85.208661
12.721000,-85.168463
12.741000,-85.195261
12.761000,-85.074669
12.781000,-85.208661
12.801000,-85.195261
12.821000,-85.195261
12.841000,-85.034472
12.861000,-85.208661
12.881000,-85.195261
12.904000,-85.061270
12.921000,-85.181862
12.941000,-85.021073
12.961000,-85.423046
12.981000,-85.222060
13.001000,-85.208661
13.021000,-85.463244
13.041000,-85.181862
13.061000,-85.195261
13.081000,-85.047871
13.101000,-85.436445
13.121000,-85.235459
13.141000,-85.195261
13.161000,-85.208661
13.181000,-85.128266
13.201000,-85.208661
13.221000,-85.235459
13.241000,-85.449845
13.261000,-85.208661
13.281000,-85.222060
13.301000,-85.222060
13.321000,-85.195261
13.341000,-85.222060
13.361000,-85.034472
13.381000,-85.436445
13.401000,-85.208661
13.421000,-85.047871
13.441000,-85.222060
13.461000,-85.181862
13.481000,-85.235459
13.501000,-85.007674
13.521000,-85.168463
13.541000,-85.195261
13.561000,-85.222060
13.581000,-85.222060
13.601000,-85.168463
13.621000,-85.181862
13.641000,-85.007674
13.661000,-85.423046
13.681000,-85.208661
13.708000,-85.222060
13.721000,-85.436445
13.741000,-85.168463
13.761000,-85.222060
13.781000,-85.021073
13.801000,-85.423046
13.821000,-85.208661
13.841000,-85.222060
13.861000,-85.436445
13.881000,-85.155064
13.901000,-85.222060
13.921000,-85.248858
13.941000,-85.449845
13.961000,-85.181862
13.981000,-85.195261
14.001000,-85.222060
14.021000,-85.208661
14.041000,-85.195261
14.061000,-85.034472
14.081000,-85.436445
14.101000,-85.181862
14.121000,-85.061270
14.141000,-85.222060
14.161000,-85.181862
14.181000,-85.222060
14.201000,-85.047871
14.221000,-85.181862
14.241000,-85.195261
14.261000,-85.208661
14.281000,-85.222060
14.301000,-85.195261
14.321000,-85.195261
14.341000,-85.021073
14.361000,-85.436445
14.381000,-85.195261
14.401000,-85.222060
14.421000,-85.449845
14.441000,-85.195261
14.461000,-85.222060
14.481000,-85.047871
14.501000,-85.423046
14.521000,-85.208661
14.541000,-85.181862
14.561000,-85.222060
14.581000,-85.168463
14.601000,-85.208661
14.621000,-85.222060
14.641000,-85.463244
14.661000,-85.208661
14.681000,-85.208661
14.702000,-85.222060
14.721000,-85.195261
14.741000,-85.222060
14.761000,-85.047871
14.782000,-85.436445
14.805000,-85.195261
14.823000,-85.034472
14.841000,-85.222060
14.861000,-85.222060
14.881000,-85.222060
14.901000,-85.047871
14.921000,-85.181862
14.941000,-85.222060
14.961000,-85.168463
14.981000,-85.222060
15.001000,-85.168463
15.021000,-85.195261
15.041000,-85.074669
15.061000,-85.449845
15.081000,-85.235459
15.101000,-85.195261
15.121000,-85.423046
15.141000,-85.181862
15.161000,-85.222060
15.181000,-85.047871
15.201000,-85.396248
15.221000,-85.181862
15.241000,-85.208661
15.261000,-85.208661
15.281000,-85.181862
15.301000,-85.222060
15.321000,-85.248858
15.341000,-85.436445
15.361000,-85.208661
15.381000,-85.195261
15.401000,-85.208661
15.421000,-85.208661
15.441000,-85.222060
15.461000,-85.222060
15.481000,-85.396248
15.501000,-85.208661
15.521000,-85.061270
15.541000,-85.235459
15.561000,-85.181862
15.581000,-85.208661
15.601000,-85.047871
15.621000,-85.181862
15.641000,-85.195261
15.661000,-85.181862
15.681000,-85.222060
15.701000,-85.181862
15.721000,-85.208661
15.741000,-85.061270
15.761000,-85.449845
15.781000,-85.208661
15.801000,-85.195261
15.821000,-85.449845
15.841000,-85.181862
15.861000,-85.222060
15.881000,-85.034472
15.904000,-85.423046
15.921000,-85.235459
15.941000,-85.181862
15.961000,-85.195261
15.981000,-85.181862
16.001000,-85.222060
16.021000,-85.222060
16.041000,-85.449845
16.061000,-85.208661
16.081000,-85.181862
16.101000,-85.222060
16.121000,-85.208661
16.141000,-85.195261
16.161000,-85.034472
16.181000,-85.396248
16.201000,-85.208661
16.221000,-85.047871
16.241000,-85.235459
16.261000,-85.181862
16.281000,-85.222060
16.301000,-85.074669
16.321000,-85.168463
16.341000,-85.208661
16.361000,-85.208661
16.381000,-85.195261
16.401000,-85.181862
16.421000,-85.195261
16.441000,-85.061270
16.461000,-85.476643
16.481000,-85.208661
16.501000,-85.195261
16.521000,-85.436445
16.541000,-85.168463
16.561000,-85.181862
16.581000,-85.034472
16.601000,-85.449845
16.621000,-85.195261
16.641000,-85.181862
16.661000,-85.208661
16.681000,-85.195261
